,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
6590,23116,2.0,96.5,95.9,1.9,3.5,0.9
6591,23117,10.1,80.3,78.0,3.7,19.7,2.3
6592,23119,0.0,100.0,100.0,0.0,0.0,26.7
6593,23120,1.6,96.5,96.5,2.8,3.5,1.1
6594,23123,13.0,90.3,88.8,1.6,9.7,7.2
6595,23124,4.5,92.3,92.3,0.9,7.7,3.5
6596,23125,0.0,9999999.99,9999999.99,9999999.99,9999999.99,89.4
6597,23126,2.0,98.7,98.7,0.0,1.3,40.0
6598,23128,4.5,93.6,93.6,2.0,6.4,10.4
6599,23129,4.8,100.0,100.0,0.0,0.0,23.9
6600,23130,13.2,87.2,67.9,19.2,12.8,37.6
6601,23138,0.0,96.5,96.5,0.0,3.5,35.4
6602,23139,6.5,90.6,89.4,3.3,9.4,1.7
6603,23140,8.5,86.7,86.4,0.6,13.3,2.4
6604,23141,3.3,93.3,92.6,0.6,6.7,2.1
6605,23146,3.2,88.4,88.3,0.6,11.6,2.4
6606,23148,12.3,81.0,79.1,2.5,19.0,14.9
6607,23149,2.6,70.8,70.4,4.9,29.2,10.1
6608,23150,10.7,87.5,85.4,3.6,12.5,3.6
6609,23153,0.0,95.5,95.5,0.0,4.5,7.4
6610,23156,5.7,86.3,86.3,5.4,13.7,6.2
6611,23160,9999999.99,100.0,100.0,0.0,0.0,9999999.99
6612,23161,0.0,100.0,100.0,0.0,0.0,41.9
6613,23163,0.0,100.0,100.0,0.0,0.0,23.6
6614,23168,6.0,95.2,95.2,4.1,4.8,2.8
6615,23169,8.0,84.5,79.8,4.7,15.5,9.6
6616,23173,9999999.99,94.6,94.6,0.0,5.4,9999999.99
6617,23175,10.6,85.3,78.6,12.6,14.7,6.9
6618,23176,0.0,94.0,94.0,12.5,6.0,16.1
6619,23177,9.1,91.6,91.6,0.0,8.4,19.4
6620,23180,9.2,77.6,76.3,1.2,22.4,16.5
6621,23181,7.2,82.3,80.0,3.2,17.7,3.1
6622,23185,5.3,86.5,83.2,5.3,13.5,1.2
